conversation_id,text_sent,collab_sent
7663051270685655317,True,True
7663051288510857492,True,True
7663051269809406215,True,True
7663051291539816722,True,True
7663051290734199047,True,True
7663051304978596116,True,True
7663051317447409941,True,True
7663051315181912338,True,True
7663051336845639957,True,True
7663051342612578580,True,True
7663051345880203528,True,True
7663051355971715329,True,True
7663051340059541781,True,True
7663051347793559829,True,True
7663051373172687125,True,True
7663051369092612360,True,True
7663051362260173063,True,True
7663051388465955073,True,True
7663051396538728712,True,True
7663051399144358151,True,True
7663051399400063252,True,True
7663051418345095432,True,True
7663051422099177735,True,True
7663051407877423368,True,True
7663051420489122055,True,True
7663051440018014465,True,True
7663051449173311764,True,True
7663051458480259348,True,True
7663051458547745044,True,True
7663051466235887880,True,True
7663051463946387719,True,True
7663051475992412437,True,True
7663051494719160593,True,True
7663051484922085640,True,True
7663051501321814289,True,True
7663051482829046037,True,True
7663051510678470920,True,True
7663051512088920341,True,True
7663051518811635976,True,True
7663051534896251144,True,True
7663051524881531156,True,True
7663051526852215047,True,True
7663051544602657044,True,True
7663051551142117650,True,True
7663051561183002900,True,True
7663051560121876757,True,True
7663051567977922836,True,True
7663051578081886482,True,True
7663051595684380936,True,True
7663051586571616519,True,True
7663051589058838805,True,True
7663051611786641671,True,True
7663051604963377426,True,True
7663051607877468434,True,True
7663051626542612743,True,True
7663051636621017362,True,True
7663051631168946440,True,True
7663051646603460882,True,True
7663051646922932501,True,True
7663051633501651218,True,True
7663051659522933000,True,True
7663051665868079380,True,True
7663051687074169109,True,True
7663051686063653127,True,True
7663051691148132625,True,True
7663051680880115986,True,True
7663051696742187271,True,True
7663051718405488917,True,True
7663051708918825237,True,True
7663051727062728981,True,True
7663051732163002645,True,True
7663051743030952193,True,True
7663051729781031186,True,True
7663051741122855175,True,True
7663051752317255956,True,True
7663051742246994194,True,True
7663051750660702471,True,True
7663051768997576978,True,True
7663051781660213522,True,True
7663051783946289415,True,True
7663051792984703253,True,True
7663051803587707156,True,True
7663051816414281985,True,True
7663051802631438610,True,True
7663051816158036245,True,True
7663051815609286930,True,True
7663051828192149768,True,True
7663051839222825223,True,True
7663051825353277717,True,True
7663051855374614791,True,True
7663051855048605972,True,True
7663051861725380872,True,True
7663051874354626832,True,True
7663051879575945493,True,True
7663051885628915988,True,True
7663051883519541525,True,True
7663051886434271505,True,True
7663051892629733653,True,True
7663051915030315272,True,True
7663051908173824276,True,True
7663051911285489940,True,True
7663051931090321685,True,True
7663051916788678920,True,True
7663051931502477588,True,True
7663051950766653716,True,True
7663051956814856449,True,True
7663051957956133141,True,True
7663051961440649479,True,True
7663051973381914887,True,True
7663051982994669844,True,True
7663051983888711957,True,True
7663051974435569941,True,True
7663051978776461576,True,True
7663052007595294977,True,True
7663051997395239189,True,True
7663052011844632850,True,True
7663052034039693584,True,True
7663052021255258386,True,True
7663052038484164871,True,True
7663052049127145736,True,True
7663052048766615828,True,True
7663052041875751176,True,True
7663052065740964117,True,True
7663052067691839765,True,True
7663052086384509191,True,True
7663052092319252756,True,True
7663052090654408978,True,True
7663052084363657490,True,True
7663052108337938695,True,True
7663052100675125512,True,True
7663052115392708882,True,True
7663052125782098196,True,True
7663052128760463623,True,True
7663052127564824853,True,True
7663052152889770241,True,True
7663052138901946631,True,True
7663052151237738770,True,True
7663052159761023250,True,True
7663052168853618964,True,True
7663052180068516114,True,True
7663052184254431509,True,True
7663052176302457109,True,True
7663052196095000852,True,True
7663052211043467528,True,True
7663052204644008210,True,True
7663052219926921493,True,True
7663052221954015509,True,True
7663052206086930706,True,True
7663052244991967496,True,True
7663052244019069191,True,True
7663052247312564501,True,True
7663052260326490375,True,True
7663052258800435464,True,True
7663052266164814087,True,True
7663052280153309461,True,True
7663052268783583508,True,True
7663052286096720148,True,True
7663052284004614421,True,True
7663052303901802759,True,True
7663052282956022024,True,True
7663052311622861076,True,True
7663052325669437717,True,True
7663052321559265557,True,True
7663052326949503250,True,True
7663052335128166677,True,True
7663052340438384917,True,True
7663052353008484616,True,True
7663052350702305557,True,True
7663052372985626901,True,True
7663052363255660821,True,True
7663052367600926997,True,True
7663052383798493461,True,True
7663052394406232341,True,True
7663052402765562113,True,True
7663052388240785672,True,True
7663052407848534292,True,True
7663052417168638228,True,True
7663052400916381960,True,True
7663052433253925138,True,True
7663052424814477576,True,True
7663052447141331217,True,True
7663052447037079829,True,True
7663052453940183317,True,True
7663052471811539220,True,True
7663052469278884114,True,True
7663052480116162837,True,True
7663052489494954256,True,True
7663052496029450514,True,True
7663052485116887303,True,True
7663052508603875605,True,True
7663052495741075719,True,True
7663052513235370247,True,True
7663052508407726354,True,True
7663052524983320853,True,True
7663052540443017480,True,True
7663052547242115348,True,True
7663052547070361876,True,True
7663052543699239176,True,True
7663052565674098965,True,True
7663052551533756679,True,True
7663052574526505233,True,True
7663052588337791252,True,True
7663052588195250453,True,True
7663052583124893970,True,True
7663052596848001288,True,True
7663052599243030805,True,True
7663052621586055445,True,True
7663052608907378965,True,True
7663052619292655890,True,True
7663052605690888455,True,True
7663052639634342152,True,True
7663052626779767061,True,True
7663052642071331093,True,True
7663052656483172616,True,True
7663052659863421205,True,True
7663052661915156754,True,True
7663052676117610772,True,True
7663052687977808149,True,True
7663052695674585364,True,True
7663052667812823314,True,True
7663052696907366663,True,True
7663052710149144850,True,True
7663052713982968072,True,True
7663052712212906248,True,True
7663052721817682194,True,True
7663052726259204373,True,True
7663052724254671125,True,True
7663052751064449301,True,True
7663052733264544007,True,True
7663052759331537173,True,True
7663052765279469844,True,True
7663052770929197319,True,True
7663052757662793991,True,True
7663052803455107349,True,True
7663052806886293780,True,True
7663052810720395537,True,True
7663052801933443336,True,True
7663052816546283783,True,True
7663052828977463572,True,True
7663052820929315080,True,True
7663052846035878161,True,True
7663052835953361160,True,True
7663052844828098823,True,True
7663052849349804306,True,True
7663052852764098834,True,True
7663052879304933653,True,True
7663052861459464468,True,True
7663052878592852242,True,True
7663052875178688788,True,True
7663052882119852296,True,True
7663052908048679188,True,True
7663052912214327568,True,True
7663052918748266759,True,True
7663052911233319175,True,True
7663052922825769236,True,True
7663052926504976660,True,True
7663052915280740629,True,True
7663052945482973448,True,True
7663052956296347924,True,True
7663052950973251847,True,True
7663052961429651732,True,True
7663052971655840007,True,True
7663052981583233288,True,True
7663052968715829522,True,True
7663052979461275912,True,True
7663052987359674645,True,True
7663052995953754389,True,True
7663053021567746320,True,True
7663053020873163029,True,True
7663053020162605320,True,True
7663053031836205329,True,True
7663053042501337365,True,True
7663053047267164433,True,True
7663053045034828050,True,True
7663053041977606408,True,True
7663053059349987592,True,True
7663053047665639701,True,True
7663053088948797712,True,True
7663053088980664592,True,True
7663053069395968276,True,True
7663053087204983047,True,True
7663053093085888789,True,True
7663053106494570772,True,True
7663053112818827528,True,True
7663053111649583367,True,True
7663053125683708181,True,True
7663053126379077908,True,True
7663053129713598728,True,True
7663053137163354375,True,True
7663053151473615125,True,True
7663053172054786325,True,True
7663053160186167573,True,True
7663053169823449352,True,True
7663053181156868359,True,True
7663053184382566677,True,True
7663053185615855893,True,True
7663053193991799058,True,True
7663053209128796434,True,True
7663053207338090773,True,True
7663053208642748693,True,True
7663053227123015956,True,True
7663053234060165383,True,True
7663053228335431944,True,True
7663053242327613704,True,True
7663053244302901522,True,True
7663053259813093652,True,True
7663053261444874517,True,True
7663053276270969109,True,True
7663053284265427207,True,True
7663053277156786440,True,True
7663053287915143442,True,True
7663053302455664917,True,True
7663053298761679125,True,True
7663053315881926932,True,True
7663053307342848264,True,True
7663053323414634770,True,True
7663053331850625301,True,True
7663053340221505799,True,True
7663053338507264277,True,True
7663053344517587220,True,True
7663053352704508168,True,True
7663053373075226900,True,True
7663053349890212116,True,True
7663053383447822612,True,True
7663053382722961680,True,True
7663053397217722644,True,True
7663053376956350728,True,True
7663053408240238856,True,True
7663053418793091335,True,True
7663053409947631890,True,True
7663053407280890119,True,True
7663053436799910165,True,True
7663053431830233362,True,True
7663053445264113928,True,True
7663053452453609744,True,True
7663053461026849040,True,True
7663053446376259860,True,True
7663053466172244231,True,True
7663053461266022676,True,True
7663053468177596680,True,True
7663053479368605959,True,True
7663053499994947861,True,True
7663053504579633428,True,True
7663053508015161621,True,True
7663053502621630740,True,True
7663053523709739285,True,True
7663053532982968597,True,True
7663053534832886036,True,True
7663053521785733394,True,True
7663053559050846481,True,True
7663053555235275028,True,True
7663053556592951572,True,True
7663053546720411911,True,True
7663053558669525266,True,True
7663053564231991572,True,True
7663053588134396180,True,True
7663053573698126098,True,True
7663053603267166471,True,True
7663053610209083669,True,True
7663053602425258261,True,True
7663053620284309780,True,True
7663053598625382674,True,True
7663053633806614805,True,True
7663053630584914184,True,True
7663053655348183297,True,True
7663053647391768848,True,True
7663053652030849301,True,True
7663053657126781205,True,True
7663053683818692880,True,True
7663053685064728839,True,True
7663053662189994248,True,True
7663053705826402581,True,True
7663053708301173000,True,True
7663053715142361364,True,True
7663053708964528405,True,True
7663053710143422727,True,True
7663053740081807617,True,True
7663053736533950740,True,True
7663053740983025927,True,True
7663053754468778257,True,True
7663053761528054037,True,True
7663053753071960328,True,True
7663053764904026389,True,True
7663053764614340872,True,True
7663053773104120082,True,True
7663053772948734216,True,True
7663053793181745415,True,True
7663053811220562184,True,True
7663053803395236117,True,True
7663053812407943445,True,True
7663053816326455572,True,True
7663053804225937684,True,True
7663053838228455700,True,True
7663053823800197383,True,True
7663053853336273168,True,True
7663053838136049940,True,True
7663053840036888852,True,True
7663053861003821333,True,True
7663053879608656146,True,True
7663053877930934548,True,True
7663053893047206165,True,True
