target_collaboration_id,name,batch_name,creator_open_id,end_time
7661970369088603924,All_202606_06k-08k_01,All_202606_06k-08k,GN-oOQAAAACOV4AEeERJl-yievH_HBssMKWb9dpaviP6lSUS6Ikyjw,2101132799
7661970369088603924,All_202606_06k-08k_01,All_202606_06k-08k,iNWHZQAAAACOV4AEeERJl-yievH_HBssHfgfqtQp5StNMqoiasp_NA,2101132799
7661970369088603924,All_202606_06k-08k_01,All_202606_06k-08k,5A2cNwAAAACOV4AEeERJl-yievH_HBssosgFEHiWlVW8Zcs83wBaHQ,2101132799
7661970369088603924,All_202606_06k-08k_01,All_202606_06k-08k,8NcCwwAAAACOV4AEeERJl-yievH_HBss-OwSEC0FL1SGZqVl2xYLqg,2101132799
7661970369088603924,All_202606_06k-08k_01,All_202606_06k-08k,YH0rKwAAAACOV4AEeERJl-yievH_HBssknCCXr2jDw6W1DWJ8mH8fg,2101132799
7661970369088603924,All_202606_06k-08k_01,All_202606_06k-08k,sW6t0wAAAACOV4AEeERJl-yievH_HBssY7WK-VuIXdWMLiwmBd_urA,2101132799
7661970518602401552,All_202606_08k-10k_01,All_202606_08k-10k,AWmNvAAAAACOV4AEeERJl-yievH_HBsskVVxrtJBAjIkIV5FXgA8YQ,2101132799
7661970518602401552,All_202606_08k-10k_01,All_202606_08k-10k,kZZs6AAAAACOV4AEeERJl-yievH_HBssYlX52r8OaPok6JO2vstg_g,2101132799
7661970518602401552,All_202606_08k-10k_01,All_202606_08k-10k,5C6k1gAAAACOV4AEeERJl-yievH_HBssdHATqfP3fHwow9LWGQlTQA,2101132799
7661970518602401552,All_202606_08k-10k_01,All_202606_08k-10k,qENNJAAAAACOV4AEeERJl-yievH_HBssvze6r93wdpKuS4src65hAg,2101132799
7661970518602401552,All_202606_08k-10k_01,All_202606_08k-10k,tKpu7wAAAACOV4AEeERJl-yievH_HBssgYMxHyHuweMR6jzhrcNW-w,2101132799
7661970518602401552,All_202606_08k-10k_01,All_202606_08k-10k,xT_0twAAAACOV4AEeERJl-yievH_HBsskYO_KdDPLjt-fA14r0HK4A,2101132799
7661970518602401552,All_202606_08k-10k_01,All_202606_08k-10k,c9brIQAAAACOV4AEeERJl-yievH_HBssdx1h0dF6WxHd16plpBzd2w,2101132799
7661970495009081108,All_202606_10k-12k_01,All_202606_10k-12k,vBo6PwAAAACOV4AEeERJl-yievH_HBss_Ao9gZgWfAwFG959sm_owA,2101132799
7661970495009081108,All_202606_10k-12k_01,All_202606_10k-12k,rvPU_wAAAACOV4AEeERJl-yievH_HBssu77XDSFsZ1iW_VshL-e1FQ,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,pftn0AAAAACOV4AEeERJl-yievH_HBssEMKpS30QJ2_K00bJ2ncFFw,2101132799
