name,batch_name,chunk_count,num_creators,target_collaboration_id,code,message,created_at,end_time
All_202606_00k-02k_03,All_202606_00k-02k,3,50,7662188965802493714,0,Success,,2101132799
All_202606_00k-02k_04,All_202606_00k-02k,4,50,7662188460109235989,0,Success,,2101132799
All_202606_00k-02k_05,All_202606_00k-02k,5,50,7662189036941084434,0,Success,,2101132799
All_202606_00k-02k_06,All_202606_00k-02k,6,50,7662189045204043540,0,Success,,2101132799
All_202606_00k-02k_07,All_202606_00k-02k,7,50,7662188748448794376,0,Success,,2101132799
All_202606_00k-02k_08,All_202606_00k-02k,8,50,7662188884105742100,0,Success,,2101132799
All_202606_00k-02k_09,All_202606_00k-02k,9,50,7662189037621479188,0,Success,,2101132799
All_202606_00k-02k_10,All_202606_00k-02k,10,50,7662189084036138773,0,Success,,2101132799
All_202606_00k-02k_11,All_202606_00k-02k,11,50,7662189076695107345,0,Success,,2101132799
All_202606_00k-02k_12,All_202606_00k-02k,12,50,7662188932172908306,0,Success,,2101132799
All_202606_00k-02k_13,All_202606_00k-02k,13,50,7662188956288911124,0,Success,,2101132799
All_202606_00k-02k_14,All_202606_00k-02k,14,50,7662189044982204180,0,Success,,2101132799
Health_202606_00k-02k_15,Health_202606_00k-02k,15,50,7662188654295287573,0,Success,,2101132799
Health_202606_00k-02k_16,Health_202606_00k-02k,16,50,7662189106638292754,0,Success,,2101132799
Health_202606_00k-02k_17,Health_202606_00k-02k,17,50,7662189166754875143,0,Success,,2101132799
Health_202606_00k-02k_18,Health_202606_00k-02k,18,50,7662189191601768210,0,Success,,2101132799
Health_202606_00k-02k_19,Health_202606_00k-02k,19,50,7662188952645895954,0,Success,,2101132799
Health_202606_00k-02k_20,Health_202606_00k-02k,20,50,7662189156525295367,0,Success,,2101132799
Health_202606_00k-02k_21,Health_202606_00k-02k,21,50,7662189016707974933,0,Success,,2101132799
Health_202606_00k-02k_22,Health_202606_00k-02k,22,50,7662188883593922322,0,Success,,2101132799
Health_202606_00k-02k_23,Health_202606_00k-02k,23,50,7662189146215843591,0,Success,,2101132799
All_202606_00k-02k_15,All_202606_00k-02k,15,50,7662303265360119560,0,Success,,2101132799
All_202606_00k-02k_16,All_202606_00k-02k,16,50,7662303228806104853,0,Success,,2101132799
All_202606_00k-02k_17,All_202606_00k-02k,17,50,7662303168806061845,0,Success,,2101132799
All_202606_00k-02k_18,All_202606_00k-02k,18,50,7662303223584655112,0,Success,,2101132799
All_202606_00k-02k_19,All_202606_00k-02k,19,50,7662303301353998100,0,Success,,2101132799
Health_202606_00k-02k_24,Health_202606_00k-02k,24,50,7662303222829532948,0,Success,,2101132799
Health_202606_00k-02k_25,Health_202606_00k-02k,25,50,7662303147393074964,0,Success,,2101132799
Health_202606_02k-04k_02,Health_202606_02k-04k,2,50,7662303278840547093,0,Success,,2101132799
Health_202606_02k-04k_03,Health_202606_02k-04k,3,50,7662303311466661650,0,Success,,2101132799
Health_202606_02k-04k_04,Health_202606_02k-04k,4,50,7662303241003337490,0,Success,,2101132799
Health_202606_02k-04k_05,Health_202606_02k-04k,5,50,7662303280861824784,0,Success,,2101132799
All_202606_00k-02k_20,All_202606_00k-02k,20,50,7662397037648168724,0,Success,,2101132799
Health_202606_00k-02k_26,Health_202606_00k-02k,26,50,7662397263399601941,0,Success,,2101132799
Health_202606_00k-02k_27,Health_202606_00k-02k,27,50,7662397032824899348,0,Success,,2101132799
All_202606_00k-02k_21,All_202606_00k-02k,21,50,7662537008917415698,0,Success,,2101132799
All_202606_00k-02k_22,All_202606_00k-02k,22,50,7662531586030749458,0,Success,,2101132799
All_202606_00k-02k_23,All_202606_00k-02k,23,50,7662536764264187664,0,Success,,2101132799
All_202606_00k-02k_24,All_202606_00k-02k,24,50,7662535249045620487,0,Success,,2101132799
All_202606_00k-02k_25,All_202606_00k-02k,25,50,7662535654611240724,0,Success,,2101132799
All_202606_02k-04k_02,All_202606_02k-04k,2,50,7662537493480670983,0,Success,,2101132799
All_202606_04k-06k_02,All_202606_04k-06k,2,50,7662534746106971912,0,Success,,2101132799
All_202606_06k-08k_02,All_202606_06k-08k,2,50,7662538725897668360,0,Success,,2101132799
Health_202606_00k-02k_28,Health_202606_00k-02k,28,50,7662530987810490132,0,Success,,2101132799
Health_202606_00k-02k_29,Health_202606_00k-02k,29,50,7662536062698817287,0,Success,,2101132799
Health_202606_00k-02k_30,Health_202606_00k-02k,30,50,7662534270515513108,0,Success,,2101132799
Health_202606_00k-02k_31,Health_202606_00k-02k,31,50,7662531635871958804,0,Success,,2101132799
Health_202606_00k-02k_32,Health_202606_00k-02k,32,50,7662538568355301138,0,Success,,2101132799
All_202606_00k-02k_26,All_202606_00k-02k,26,50,7662692181483783957,0,Success,2026-07-15T09:59:43.214047+00:00,2101132799
Health_202606_02k-04k_06,Health_202606_02k-04k,6,50,7662692164870555413,0,Success,2026-07-15T09:59:44.245036+00:00,2101132799
Health_202606_02k-04k_07,Health_202606_02k-04k,7,50,7662692057890522887,0,Success,2026-07-15T09:59:46.200309+00:00,2101132799
Health_202606_02k-04k_08,Health_202606_02k-04k,8,50,7662692188356232980,0,Success,2026-07-15T09:59:47.303615+00:00,2101132799
Health_202606_02k-04k_09,Health_202606_02k-04k,9,50,7662692179259180821,0,Success,2026-07-15T09:59:49.045433+00:00,2101132799
Health_202606_02k-04k_10,Health_202606_02k-04k,10,50,7662692149607728916,0,Success,2026-07-15T09:59:50.157734+00:00,2101132799
